SEQPRODUTO;DESCCOMPLETA;CODACESSO;QTDEMBALAGEM;NIVEL 0;NIVEL 1;NIVEL 2;NIVEL 3;NIVEL 4;NIVEL 5;NIVEL 6;NIVEL 7
389;ADITIVO BARDAHL 200ML MAX DIESEL;7896580700194;1;GERAL;POSTO COMBUSTIVEL;ADITIVO;ADITIVO;ADITIVO;ADITIVO;ADITIVO;BARDAHL
391;ADITIVO BARDAHL 200ML MAX POWER;7896580700927;1;GERAL;POSTO COMBUSTIVEL;ADITIVO;ADITIVO;ADITIVO;ADITIVO;ADITIVO;BARDAHL
392;BATERIA MOURA 100AH 12V HE;7897154292459;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BATERIAS;BATERIAS
393;BATERIA MOURA M 150 BD 12V;7897154292305;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BATERIAS;BATERIAS
393;BATERIA MOURA M 150 BD 12V;7897154294545;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BATERIAS;BATERIAS
394;ADITIVO BARDAHL 200ML PROAL ALCOOL;7896580700613;1;GERAL;POSTO COMBUSTIVEL;ADITIVO;ADITIVO;ADITIVO;ADITIVO;ADITIVO;BARDAHL
395;BATERIA MOURA 48AH FD;7897154291261;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BATERIAS;BATERIAS
395;BATERIA MOURA 48AH FD;7897154291278;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BATERIAS;BATERIAS
396;BATERIA MOURA 60AH GD;7897154291056;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BATERIAS;BATERIAS
397;BATERIA MOURA 60AH GE;7897154291063;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BATERIAS;BATERIAS
398;BATERIA MOURA 70AH KD;7897154291117;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BATERIAS;BATERIAS
399;ASPIRADOR AUT BRITANIA 60W 12V;7899387900521;1;GERAL;NAO ALIMENTAR;ELETRO;LAVANDERIA;ASPIRADOR PO;ASPIRADOR;ASPIRADOR;ASPIRADOR
404;BUJAO CARTER CONICO UNIVERSAL M12;4058794044577;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BUJAO CARTER;BUJAO CARTER
405;BUJAO CARTER CONICO UNIVERSAL M14;4058794044584;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;BUJAO CARTER;BUJAO CARTER
422;CAMARA AR TORTUGA AD1418;7898324371875;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;CAMARA AR;CAMARA AR
423;CAMARA AR TORTUGA AD2338;7898324372254;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;CAMARA AR;CAMARA AR
425;CAMARA AR TORTUGA AS1616 TR15;7898324371905;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;CAMARA AR;CAMARA AR
426;CAMARA AR TORTUGA AT1624;7898324372100;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;CAMARA AR;CAMARA AR
431;CAMARA AR TORTUGA 7 50 15 TR460;7898324370946;1;GERAL;POSTO COMBUSTIVEL;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;AUTOMOTIVOS DIVERSOS;CAMARA AR;CAMARA AR
432;CATRACA RAB 50MM AMARELA;7898038845761;1;GERAL;NAO ALIMENTAR;BAZAR;MANUTENCAO;FERRAMENTAS E ACESSORIOS;FERRAMENTAS;MANUAL;MANUAL
433;CERA GRAN BRILHO 200G AUTOMOTIVA;7896798701600;1;GERAL;NAO ALIMENTAR;BAZAR;AUTOMOTIVO;LIMPEZA AUTO;CERA;PASTA;PASTA
