SEQPRODUTO;DESCCOMPLETA;CODACESSO;QTDEMBALAGEM;NIVEL 0;NIVEL 1;NIVEL 2;NIVEL 3;NIVEL 4;NIVEL 5;NIVEL 6;NIVEL 7
3808;LEITE FERM CP CORPUS 170G MOR;7891025126768;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LEITE FERMENTADO;TRADICIONAL;TRADICIONAL
3809;LEITE UHT TERRA VIVA 1L INTEG;7898915414011;1;GERAL;MERCEARIA;COMMODITIES;LEITES UHT;LEITES TRADICIONAIS;INTEGRAL;INTEGRAL;INTEGRAL
3810;LIMP HARPIC 500ML MARINE;7891035127007;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR MULTIUSO;ATE 500ML;ATE 500ML
3811;LIMP MULTIUSO SQZ VEJA 500ML MACA VERDE;7891035210433;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR MULTIUSO;ATE 500ML;ATE 500ML
3812;IOG BDJ BATAVO 440G NATURIS PESSEGO;7891097015144;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;NATURAL;TRADICIONAL;BANDEJA
3813;LEITE FERM BDJ ACTIVIA 400G AVEIA;7891025103301;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LEITE FERMENTADO;TRADICIONAL;TRADICIONAL
3814;SOB LAC DANUBIO 130G MOR;7896068947271;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;SOBREMESA;UN;UN
3815;LIMP PISO DESTAC USO DIRETO 750ML PORCELANATO;7891035115837;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA DE PISO;MULTIUSO PISO;ACIMA DE 501ML;ACIMA DE 501ML;ACIMA DE 501ML
3816;DET LIQ ROUPA GIRANDO SOL 1L GLICERINA;7896404602147;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA PARA ROUPA;SABAO PARA ROUPAS;LIQUIDO;TRADICIONAL;GARRAFA
3818;IOG BDJ NESTLE 540G 3 SAB EXCLUIR;7891000041260;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;BANDEJA
3819;IOG BDJ NESTLE 540G MOR;7891000041178;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;BANDEJA
3819;IOG BDJ NESTLE 540G MOR;7891000275771;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;BANDEJA
3820;LIMP MULTIUSO FACILLE 500ML LARANJA;7897938903021;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR MULTIUSO;ATE 500ML;ATE 500ML
3821;LIMP PISO DESTAC USO DIRETO 750ML LAVANDA;7891035115509;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA DE PISO;MULTIUSO PISO;ACIMA DE 501ML;ACIMA DE 501ML;ACIMA DE 501ML
3822;LIMP PISO DESTAC USO DIRETO 750ML FLORAL;7891035115707;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA DE PISO;MULTIUSO PISO;ACIMA DE 501ML;ACIMA DE 501ML;ACIMA DE 501ML
3823;LIMP MULTIUSO SQZ VEJA 750ML ORIG;7891035216206;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR MULTIUSO;ACIMA DE 501ML;ACIMA DE 501ML
3824;LEITE HID PAIXAO 200ML ROMANCE;78925588;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;CUIDADOS COM O CORPO;HIDRATANTE;CORPORAL;OLEO;OLEO
3824;LEITE HID PAIXAO 200ML ROMANCE;7896584521481;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;CUIDADOS COM O CORPO;HIDRATANTE;CORPORAL;OLEO;OLEO
3825;LASANHA SEARA 600G CALABRESA;7894904070602;1;GERAL;PERECIVEIS;PAS;CONGELADO;PRATO PRONTO;LASANHA;TRADICIONAL;TRADICIONAL
3826;LASANHA SEARA 600G FGO;7894904070596;1;GERAL;PERECIVEIS;PAS;CONGELADO;PRATO PRONTO;LASANHA;TRADICIONAL;TRADICIONAL
3827;LIMP HARPIC 500ML LIMP HARPIC 500;7891035128103;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR MULTIUSO;ATE 500ML;ATE 500ML
3827;LIMP HARPIC 500ML LIMP HARPIC 500;7891035128110;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR MULTIUSO;ATE 500ML;ATE 500ML
3828;LEITE FERM GFA ACTIMEL 100G ORIG;78926998;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LEITE FERMENTADO;TRADICIONAL;TRADICIONAL
3828;LEITE FERM GFA ACTIMEL 100G ORIG;7891025113454;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LEITE FERMENTADO;TRADICIONAL;TRADICIONAL
3829;LEITE FERM GFA ACTIMEL 100G MOR;78927001;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LEITE FERMENTADO;TRADICIONAL;TRADICIONAL
3829;LEITE FERM GFA ACTIMEL 100G MOR;7891025113447;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LEITE FERMENTADO;TRADICIONAL;TRADICIONAL
2999;ALIM SOJA ADES KIDS 200ML CHOCOLATE;7891700207348;1;GERAL;SEM CATEGORIA;SEM CATEGORIA;SEM CATEGORIA;SEM CATEGORIA;SEM CATEGORIA;SEM CATEGORIA;SEM CATEGORIA
238698;ALIMENTADOR CAJOVIL INF;48526053971;1;GERAL;SEM CATEGORIA;SEM CATEGORIA;SEM CATEGORIA;SEM CATEGORIA;SEM CATEGORIA;SEM CATEGORIA;SEM CATEGORIA
3832;LIMP MULTIUSO SQZ VEJA 500ML LAVANDA;7891035210334;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR MULTIUSO;ATE 500ML;ATE 500ML
3833;LIMP VEJA 500ML LIMP PESADA LAVANDA;7891035215087;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR LIMP PESADA;ATE 500ML;ATE 500ML
3834;CR CHOC IOIO 50G+ROLO WAFER 13,6G MIX DUO;7898292883974;1;GERAL;MERCEARIA;SECA DOCE;DOCES TIPICOS;TRADICIONAL;OUTROS;OUTROS;OUTROS
3835;ISOTONICO I9 500ML TANGERINA;7894900123562;1;GERAL;MERCEARIA;BEBIDAS;HIDRATACAO;BEBIDA ISOTONICA;ISOTONICO;ATE 500ML;ATE 500ML
3836;LIMP CASA&PERFUME 1L INFANZIA;7896040705707;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR PERFUMADO;DE 501ML A 1L;DE 501ML A 1L
3837;LIMP CASA&PERFUME 1L SENSAZIONE;7896040705295;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR PERFUMADO;DE 501ML A 1L;DE 501ML A 1L
3838;LASANHA SEARA 600G PRESUNTO QJO;7894904072439;1;GERAL;PERECIVEIS;PAS;CONGELADO;PRATO PRONTO;LASANHA;TRADICIONAL;TRADICIONAL
3839;SOB LAC DANUBIO 130G GOIABA;7896068947318;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;SOBREMESA;UN;UN
3840;LASANHA SEARA 600G FGO PARISIEN;7894904072453;1;GERAL;PERECIVEIS;PAS;CONGELADO;PRATO PRONTO;LASANHA;TRADICIONAL;TRADICIONAL
3841;CR CHOC IOIO 50G+ROLO WAFER 13,6G MIX CHOC;7898292884643;1;GERAL;MERCEARIA;SECA DOCE;DOCES TIPICOS;TRADICIONAL;OUTROS;OUTROS;OUTROS
3842;ISOTONICO POWERADE 500ML LARANJA;7894900503005;1;GERAL;MERCEARIA;BEBIDAS;HIDRATACAO;BEBIDA ISOTONICA;ISOTONICO;ATE 500ML;ATE 500ML
3842;ISOTONICO POWERADE 500ML LARANJA;7894900503029;1;GERAL;MERCEARIA;BEBIDAS;HIDRATACAO;BEBIDA ISOTONICA;ISOTONICO;ATE 500ML;ATE 500ML
3843;LIMP HARPIC 500ML LAVANDA MULTIAC;7891035126000;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR MULTIUSO;ATE 500ML;ATE 500ML
3844;LASANHA SADIA 600G FGO MOLHO SU;7891515475642;1;GERAL;PERECIVEIS;PAS;CONGELADO;PRATO PRONTO;LASANHA;TRADICIONAL;TRADICIONAL
3845;IOG DESN GFA FRIMESA 850G ZERO MOR;7896275980078;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3847;IOG DESN GFA FRIMESA 850G ZERO MAMAO;7896275980085;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3848;IOG GFA FRIMESA 170G GENGIBRE;7896275981228;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3849;IOG GFA FRIMESA 850G MAMAO;7896275970895;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3850;IOG GFA FRIMESA 850G AMEIXA;7896275970864;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3851;IOG GFA FRIMESA 170G MAMAO;7896275970888;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3852;IOG GFA FRIMESA 170G AMEIXA;7896275970871;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3853;LIMP MULTIUSO SQZ VEJA 500ML PERF BRASIL;7891035201455;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR MULTIUSO;ATE 500ML;ATE 500ML
3854;IOG GFA FRIMESA 170G LIGHT MOR;7896275980184;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;DIET - LIGHT;LIQUIDO;GARRAFA
3855;IOG GFA FRIMESA 170G LIGHT AMEIXA;7896275980214;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;DIET - LIGHT;LIQUIDO;GARRAFA
3856;IOG GFA FRIMESA 170G LIGHT MAMAO;7896275980221;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;DIET - LIGHT;LIQUIDO;GARRAFA
3857;IOG GFA FRIMESA 850G LIGHT MOR;7896275980146;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;DIET - LIGHT;LIQUIDO;GARRAFA
3858;IOG GFA FRIMESA 850G LIGHT AMEIXA;7896275980153;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;DIET - LIGHT;LIQUIDO;GARRAFA
3859;IOG GFA FRIMESA 850G LIGHT MAMAO;7896275980160;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;DIET - LIGHT;LIQUIDO;GARRAFA
3860;LEITE HID PAIXAO 200ML INSPIRADORA;78907850;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;CUIDADOS COM O CORPO;HIDRATANTE;CORPORAL;OLEO;OLEO
3861;IOG GFA BATAVO 180G MOR;7891097101809;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3861;IOG GFA BATAVO 180G MOR;7891515971915;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3862;IOG GFA BATAVO 180G MAC/BAN/CER;7891515971953;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3862;IOG GFA BATAVO 180G MAC/BAN/CER;7891097101816;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3863;IOG GFA BATAVO 180G GRAVIOLA;7891097101823;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3863;IOG GFA BATAVO 180G GRAVIOLA;7891515971960;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3864;BEB LAC BATAVO 850G PENSE ZERO MORANGO;7891097101526;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;ZERO LACTOSE;LIQUIDO;GARRAFA
3864;BEB LAC BATAVO 850G PENSE ZERO MORANGO;7891515980122;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;ZERO LACTOSE;LIQUIDO;GARRAFA
3865;BEB LAC BATAVO 850G PENSE ZERO BATIDO;7891515980146;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;ZERO LACTOSE;LIQUIDO;GARRAFA
3866;LIMP AJAX 500ML FESTA FLORES CAMPESTRE;7891024127674;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR MULTIUSO;ATE 500ML;ATE 500ML
3867;DET LIQ ROUPA GIRANDO SOL 1L FRESH;7896404602116;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA PARA ROUPA;SABAO PARA ROUPAS;LIQUIDO;TRADICIONAL;GARRAFA
3868;LEITE FERM BDJ ACTIVIA 400G CEREJA;7891025106906;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LEITE FERMENTADO;TRADICIONAL;TRADICIONAL
3869;LIMP CASA&PERFUME 500ML PASSIONE;7896040706155;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR PERFUMADO;ATE 500ML;ATE 500ML
3870;IOG GFA BATAVO 180G JABUTICABA;7891097101649;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3870;IOG GFA BATAVO 180G JABUTICABA;7891515418410;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LIQUIDO;TRADICIONAL;GARRAFA
3871;BEB LAC BATAVO 850G PENSE ZERO PERA;7891515418526;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;ZERO LACTOSE;LIQUIDO;GARRAFA
3872;LASANHA SADIA 600G BOLONHESA;7891515475703;1;GERAL;PERECIVEIS;PAS;CONGELADO;PRATO PRONTO;LASANHA;TRADICIONAL;TRADICIONAL
3873;LIMP CASA&PERFUME 1L PASSIONE;7896040706162;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR PERFUMADO;DE 501ML A 1L;DE 501ML A 1L
3874;LEITE FERM GFA ACTIVIA 900G SUG PESSEGO;7891025108047;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;LEITE FERMENTADO;TRADICIONAL;TRADICIONAL
3875;BEB LAC BATAVO 850G PENSE ZERO AMORA;7891097000072;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;ZERO LACTOSE;LIQUIDO;GARRAFA
3876;LASANHA SADIA 600G PEITO PERU;7891515476212;1;GERAL;PERECIVEIS;PAS;CONGELADO;PRATO PRONTO;LASANHA;TRADICIONAL;TRADICIONAL
3877;LASANHA SADIA 600G 4 QJO;7891515475680;1;GERAL;PERECIVEIS;PAS;CONGELADO;PRATO PRONTO;LASANHA;TRADICIONAL;TRADICIONAL
3878;LASANHA SADIA 600G CALAB;7891515476229;1;GERAL;PERECIVEIS;PAS;CONGELADO;PRATO PRONTO;LASANHA;TRADICIONAL;TRADICIONAL
3879;BEB LAC BATAVO 850G PENSE ZERO MAMAO;7891097101625;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;ZERO LACTOSE;LIQUIDO;GARRAFA
3879;BEB LAC BATAVO 850G PENSE ZERO MAMAO;7891515980115;1;GERAL;PERECIVEIS;PAS;RESFRIADO;IOGURTE;ZERO LACTOSE;LIQUIDO;GARRAFA
3880;LASANHA SADIA 600G PRESUNTO/QJO;7891515475697;1;GERAL;PERECIVEIS;PAS;CONGELADO;PRATO PRONTO;LASANHA;TRADICIONAL;TRADICIONAL
3881;LIMP CASA&PERFUME 1L INTUZIONENEW;7896040705967;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LIMPADORES E LUSTRADORES;LIMPADOR PERFUMADO;DE 501ML A 1L;DE 501ML A 1L
3882;CEREAL MUCILON LT 400G MULTICEREAIS;7891000035832;1;GERAL;MERCEARIA;SAUDAVEIS;CEREAIS;GRANOLA;COMUM;ACUCARADO;ACUCARADO
3884;SOPAO YOKI KITANO 196G CARNE;7891095003945;1;GERAL;MERCEARIA;SECA SALGADA;SOPA - CANJAO E CREMES;SOPA SOPAO CANJAO;SOPAO CANJAO;SOPAO CANJAO;SOPAO CANJAO
3885;SAB IARA 90G LILAS RELAX;7896012170717;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;BANHO;SABONETE;BARRA;BASICO;UNITARIO
3886;SAB DAVENE 90G INTENSA;7898085943786;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;BANHO;SABONETE;BARRA;BASICO;UNITARIO
3887;VHO DO AVO 750ML BRANCO SECO;7896931610226;1;GERAL;MERCEARIA;BEBIDAS;VINHOS;NACIONAL;MESA;TINTO;GARRAFA
3888;VHO DO AVO 750ML TINTO SUAVE;7896931610196;1;GERAL;MERCEARIA;BEBIDAS;VINHOS;NACIONAL;MESA;TINTO;GARRAFA
3889;SEMENTE ISLA IMPORTADA AGRIAO DA TERRA;7896026021210;1;GERAL;NAO ALIMENTAR;BAZAR;JARDINAGEM;SEMENTES;HORTALICAS;HORTALICAS;HORTALICAS
3890;SEMENTE ISLA IMPORTADA ABOBRINHA BRANC;7896026006217;1;GERAL;NAO ALIMENTAR;BAZAR;JARDINAGEM;SEMENTES;HORTALICAS;HORTALICAS;HORTALICAS
3891;SAB INF HUGGIES 75G TOQUE AMENDOAS;7896018700376;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;MUNDO BEBE;BANHO;SABONTE;BARRA;BARRA
3892;SAB NIVEA 90G CAMO/FLOR ALGO;7890704806502;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;BANHO;SABONETE;BARRA;BASICO;UNITARIO
3893;SAB INF HUGGIES 75G SUAVE DELICADO;7896018700369;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;MUNDO BEBE;BANHO;SABONTE;BARRA;BARRA
3895;ODORIZ BOM AR RF 12ML CLIC CHEIRINHO TALCO;7891035539503;1;GERAL;NAO ALIMENTAR;LIMPEZA;DESODORIZADOR - ANTIMOFO;DESODORIZADOR;AMBIENTE;AUTOMATICO;REFIL
3896;ODORIZ BOM AR AP+RF 12ML LAVANDA;7891035539602;1;GERAL;NAO ALIMENTAR;LIMPEZA;DESODORIZADOR - ANTIMOFO;DESODORIZADOR;AMBIENTE;AUTOMATICO;APARELHO
3897;ODORIZ BOM AR RF 12ML CLIC LAVANDA;7891035539701;1;GERAL;NAO ALIMENTAR;LIMPEZA;DESODORIZADOR - ANTIMOFO;DESODORIZADOR;AMBIENTE;AUTOMATICO;REFIL
3898;AGUARD YPIOCA 1L LIMAO;7896383700520;1;GERAL;MERCEARIA;BEBIDAS;DESTILADOS;CACHAÇA- AGUARDENTE;INDUSTRIAL;BASICA;TRADICIONAL
3899;VELA N4 GUANABARA 350G N S FATIMA;7896017416407;1;GERAL;NAO ALIMENTAR;BAZAR;DESCARTAVEIS;VELA;TRADICIONAL;TRADICIONAL;TRADICIONAL
3900;SABAO GLIC YPE 200G C/5 VERDE ALOE VERA;7896098900154;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA PARA ROUPA;SABAO EM BARRA;GLICERINADO;GLICERINADO;GLICERINADO
3901;SABAO GLIC YPE 200G C/5 VERM FLORES;7896098900130;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA PARA ROUPA;SABAO EM BARRA;GLICERINADO;GLICERINADO;GLICERINADO
3902;SAB NIVEA 90G FLORES HORIENTA;4005808999910;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;BANHO;SABONETE;BARRA;BASICO;UNITARIO
3903;SAB NIVEA 90G PROTEINA LEITE;4005808806430;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;BANHO;SABONETE;BARRA;BASICO;UNITARIO
3904;BISC RECH MARILAN 375G TORTINHAS F NEGRA;7896003702163;1;GERAL;MERCEARIA;SECA DOCE;BISCOITOS TORRADAS;BISCOITO DOCE;TORTINHA;TORTINHA;TORTINHA
3905;BISC WAFER BAUDUCCO 140G CHOC/AVELA;7891962036991;1;GERAL;MERCEARIA;SECA DOCE;BISCOITOS TORRADAS;BISCOITO DOCE;WAFER;FAMILIAR;FAMILIAR
3906;BISC SALG CLUB SOCIAL 156G INTEG TRADIC;7893333317456;1;GERAL;MERCEARIA;SECA DOCE;BISCOITOS TORRADAS;BISCOITO SALGADO;PERSONAL CRACKER;INTEGRAL;FAMILIAR
3907;CIG MACO DERBY PRATA;78930025;1;GERAL;NAO ALIMENTAR;TABACARIA;CIGARRO;CIGARRO MACO;CIGARRO MACO;CIGARRO MACO;CIGARRO MACO
3908;LUSTRA MOVEIS FACILLE 200ML JASMIM;7897938900785;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LUSTRA MOVEIS;OLEO;ATE 200ML;ATE 200ML
3909;LUSTRA MOVEIS FACILLE 200ML LAVANDA;7897938900570;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LUSTRA MOVEIS;OLEO;ATE 200ML;ATE 200ML
3910;OLEO AMENDOAS PAIXAO 200ML INSPIRADORA;78907874;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;CUIDADOS COM O CORPO;HIDRATANTE;CORPORAL;OLEO;OLEO
3911;OLEO AMENDOAS PAIXAO 200ML SEDUCAO;78907881;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;CUIDADOS COM O CORPO;HIDRATANTE;CORPORAL;OLEO;OLEO
3912;BQ BOLA VINIL CX POOH DISNEY;7898125116118;1;GERAL;NAO ALIMENTAR;BAZAR;BRINQUEDOS;BOLA;FUTEBOL;FUTEBOL;FUTEBOL
3913;OLEO AMENDOAS PAIXAO 200ML PARIS;78914940;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;CUIDADOS COM O CORPO;HIDRATANTE;CORPORAL;OLEO;OLEO
3914;OLEO AMENDOAS PAIXAO 200ML FELICIDA;78914964;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;CUIDADOS COM O CORPO;HIDRATANTE;CORPORAL;OLEO;OLEO
3915;SAB DOVE 90G ORIG;7898422746759;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;BANHO;SABONETE;BARRA;BASICO;UNITARIO
3915;SAB DOVE 90G ORIG;7891150044616;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;BANHO;SABONETE;BARRA;BASICO;UNITARIO
3916;CR PENT CAB DOVE 200ML COR DURADOURA;7898422742690;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;CUIDADOS COM O CABELO;POS SHAMPOO;CREME DE PENTEAR;TRADICIONAL;ATE 300ML
3917;GEL BARB NIVEA 193G EASY;4005808280759;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;CUIDADOS MASCULINOS;CUIDADOS COM A BARBA;GEL;GEL;GEL
3918;GEL BARB NIVEA 193G SENSITIVE;4005808229123;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;CUIDADOS MASCULINOS;CUIDADOS COM A BARBA;GEL;GEL;GEL
3919;SEMENTE ISLA IMPORTADA RUCULA FOLHA LA;7896026247214;1;GERAL;NAO ALIMENTAR;BAZAR;JARDINAGEM;SEMENTES;HORTALICAS;HORTALICAS;HORTALICAS
3920;MAC INST RENATA 85G CREMOSO PIZZA;7896022203139;1;GERAL;MERCEARIA;SECA SALGADA;MASSAS;INSTANTANEA;PACOTE;OUTROS;OUTROS
3921;SH CAES SANOL 500ML FILHOTES;7896183301767;1;GERAL;NAO ALIMENTAR;BAZAR;PET SHOP;HIGIENE;BANHO;SHAMPOO;SHAMPOO
3922;CR PENT CAB DOVE 200ML CONT QUEDA;7898422747930;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;CUIDADOS COM O CABELO;POS SHAMPOO;CREME DE PENTEAR;TRADICIONAL;ATE 300ML
3923;SEMENTE ISLA NACIONAL COUVE HIB GREE;7896026108218;1;GERAL;NAO ALIMENTAR;BAZAR;JARDINAGEM;SEMENTES;HORTALICAS;HORTALICAS;HORTALICAS
3924;SEMENTE ISLA IMPORTADA COUVE TRONCHUDA;7896026126212;1;GERAL;NAO ALIMENTAR;BAZAR;JARDINAGEM;SEMENTES;HORTALICAS;HORTALICAS;HORTALICAS
3925;DOCE FRUTAS RITTER 400G GOIABA;7896104802847;1;GERAL;MERCEARIA;SECA DOCE;SOBREMESAS E OUTROS DOCES;DOCES FRUTA;DOCES FRUTAS;DOCES FRUTAS;ATE 999G
3926;DOCE FRUTAS RITTER 400G FIGO;7896104802878;1;GERAL;MERCEARIA;SECA DOCE;SOBREMESAS E OUTROS DOCES;DOCES FRUTA;DOCES FRUTAS;DOCES FRUTAS;ATE 999G
3927;AGUA SAB H2O 1,5L LIMAO;7892840812416;1;GERAL;MERCEARIA;BEBIDAS;HIDRATACAO;AGUA MINERAL;SABORIZADA;ACIMA DE 1L;ACIMA DE 1L
3928;CR DENT COLGATE 90G T12 ADVANCED FRESH;7891024135310;1;GERAL;NAO ALIMENTAR;HIGIENE BELEZA;HIGIENE BUCAL;CREME DENTAL;REGULAR;UNITARIO;UNITARIO
3929;*CALDO MAGGI 126G GALINHA;7891000528808;1;GERAL;MERCEARIA;SECA SALGADA;ESPECIARIAS TEMPEROS;CALDO;TRADICIONAL;TABLETE;TABLETE
3930;*CALDO MAGGI 126G CARNE;7891000529003;1;GERAL;MERCEARIA;SECA SALGADA;ESPECIARIAS TEMPEROS;CALDO;TRADICIONAL;TABLETE;TABLETE
3931;LUSTRA MOVEIS POLIFLOR 200ML BRILHO PEROLAS;7891035919251;1;GERAL;NAO ALIMENTAR;LIMPEZA;LIMPEZA GERAL;LUSTRA MOVEIS;OLEO;ATE 200ML;ATE 200ML
3932;BISC INT JASMINE 150G ROSCA LIGHT COCO;7896283001581;1;GERAL;MERCEARIA;SAUDAVEIS;BISCOITOS SAUDAVEIS;DIET LIGHT;DIET LIGHT;DIET LIGHT;DIET LIGHT
3933;BISC COOKIES JASMINE 120G S/GLUTEN CASTANHA PARA/C;7896283002069;1;GERAL;MERCEARIA;SAUDAVEIS;BISCOITOS SAUDAVEIS;SEM GLUTEN SEM LACTOSE;SEM GLUTEN SEM LACTOSE;SEM GLUTEN SEM LACTOSE;SEM GLUTEN SEM LACTOSE
